Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location
440156,PARKRIDGE MEDICAL CENTER,2333 MCCALLIE AVE,CHATTANOOGA,TN,37404,HAMILTON,4238944220,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,,Same as the national average,,Below the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,"2333 MCCALLIE AVE CHATTANOOGA, TN 37404 (35.033739, -85.26886)"
440159,DELTA MEDICAL CENTER,3000 GETWELL RD,MEMPHIS,TN,38118,SHELBY,9013698100,Acute Care Hospitals,Proprietary,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"3000 GETWELL RD MEMPHIS, TN 38118 (35.067788, -89.932213)"
440161,TRISTAR CENTENNIAL MEDICAL CENTER,2300 PATTERSON STREET,NASHVILLE,TN,37203,DAVIDSON,6153421000,Acute Care Hospitals,Proprietary,TRUE,TRUE,4,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"2300 PATTERSON STREET NASHVILLE, TN 37203 (36.152907, -86.807646)"
440173,PARKWEST MEDICAL CENTER,9352 PARK WEST BLVD,KNOXVILLE,TN,37923,KNOX,8659709800,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Below the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,"9352 PARK WEST BLVD KNOXVILLE, TN 37923 (35.917806, -84.10115)"
440175,SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM LAWRENCE,HWY 43 S BOX 847,LAWRENCEBURG,TN,38464,LAWRENCE,9317626571,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,4,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,"HWY 43 S BOX 847 LAWRENCEBURG, TN 38464"
440176,INDIAN PATH COMMUNITY HOSPITAL,2000 BROOKSIDE DR,KINGSPORT,TN,37660,SULLIVAN,4234311941,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,"2000 BROOKSIDE DR KINGSPORT, TN 37660 (36.550686, -82.517916)"
440180,JELLICO COMMUNITY HOSPITAL,188 HOSPITAL LANE,JELLICO,TN,37762,CAMPBELL,4237847252,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,,Same as the national average,,Not Available,Results are not available for this reporting period.,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,"188 HOSPITAL LANE JELLICO, TN 37762 (36.573619, -84.12724)"
440183,ST FRANCIS HOSPITAL,5959 PARK AVE,MEMPHIS,TN,38119,SHELBY,9017651000,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,,Same as the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"5959 PARK AVE MEMPHIS, TN 38119 (35.099901, -89.864516)"
440184,FRANKLIN WOODS COMMUNITY HOSPITAL,300 MED TECH PARKWAY,JOHNSON CITY,TN,37604,WASHINGTON,4233021120,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,,Same as the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,"300 MED TECH PARKWAY JOHNSON CITY, TN 37604 (36.337945, -82.401047)"
440185,TENNOVA HEALTHCARE-CLEVELAND,2305 CHAMBLISS AVE NW,CLEVELAND,TN,37311,BRADLEY,4233394132,Acute Care Hospitals,Proprietary,TRUE,TRUE,1,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,"2305 CHAMBLISS AVE NW CLEVELAND, TN 37311 (35.176743, -84.868591)"
440187,LIVINGSTON REGIONAL HOSPITAL,315 OAK ST BOX 550,LIVINGSTON,TN,38570,OVERTON,9318235611,Acute Care Hospitals,Proprietary,TRUE,TRUE,4,,Below the national average,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,"315 OAK ST BOX 550 LIVINGSTON, TN 38570 (36.384695, -85.328097)"
440192,SAINT THOMAS HIGHLANDS HOSPITAL,401 SEWELL DR,SPARTA,TN,38583,WHITE,9317389211,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,,Same as the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"401 SEWELL DR SPARTA, TN 38583 (35.94812, -85.477074)"
440193,TENNOVA HEALTHCARE-LEBANON,1411 BADDOUR PARKWAY,LEBANON,TN,37087,WILSON,6154448262,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"1411 BADDOUR PARKWAY LEBANON, TN 37087 (36.219173, -86.328318)"
440194,TRISTAR HENDERSONVILLE MEDICAL CENTER,355 NEW SHACKLE ISLAND RD,HENDERSONVILLE,TN,37075,SUMNER,6153381000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3,,Same as the national average,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,"355 NEW SHACKLE ISLAND RD HENDERSONVILLE, TN 37075 (36.324156, -86.620198)"
440197,TRISTAR SOUTHERN HILLS MEDICAL CENTER,391 WALLACE RD,NASHVILLE,TN,37211,DAVIDSON,6157814000,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,"391 WALLACE RD NASHVILLE, TN 37211 (36.077872, -86.723814)"
440200,SAINT THOMAS STONES RIVER HOSPITAL,324 DOOLITTLE ROAD,WOODBURY,TN,37190,CANNON,6155634001,Acute Care Hospitals,Proprietary,TRUE,TRUE,4,,Same as the national average,,Not Available,Results are not available for this reporting period.,Above the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period.,"324 DOOLITTLE ROAD WOODBURY, TN 37190 (35.832865, -86.072943)"
440218,SAINT THOMAS HOSPITAL FOR SPECIALTY SURGERY,2011 MURPHY AVENUE,NASHVILLE,TN,37203,DAVIDSON,6155158200,Acute Care Hospitals,Voluntary non-profit - Other,FALSE,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Above the national average,,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"2011 MURPHY AVENUE NASHVILLE, TN 37203 (36.155764, -86.803889)"
440227,TRISTAR STONECREST MEDICAL CENTER,200 STONECREST BOULEVARD,SMYRNA,TN,37167,RUTHERFORD,6157682000,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"200 STONECREST BOULEVARD SMYRNA, TN 37167 (35.973743, -86.56376)"
440228,SAINT FRANCIS BARTLETT MEDICAL CENTER,2986 KATE BOND RD,BARTLETT,TN,38133,SHELBY,9018207050,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,"2986 KATE BOND RD BARTLETT, TN 38133 (35.207034, -89.802347)"
440231,TRUSTPOINT HOSPITAL,1009 NORTH THOMPSON LANE,MURFREESBORO,TN,37129,RUTHERFORD,6158671111,Acute Care Hospitals,Proprietary,FALSE,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"1009 NORTH THOMPSON LANE MURFREESBORO, TN 37129 (35.863421, -86.428977)"
440235,BIG SOUTH FORK MEDICAL CENTER,18797 ALBERTA STREET,ONEIDA,TN,37841,SCOTT,4232865300,Acute Care Hospitals,Proprietary,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"18797 ALBERTA STREET ONEIDA, TN 37841 (36.504212, -84.515194)"
441300,SAINT THOMAS HICKMAN HOSPITAL,135 EAST SWAN STREET,CENTERVILLE,TN,37033,HICKMAN,9317294271,Critical Access Hospitals,Voluntary non-profit - Private,FALSE,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"135 EAST SWAN STREET CENTERVILLE, TN 37033 (35.779539, -87.460242)"
441301,TROUSDALE MEDICAL CENTER,500 CHURCH STREET,HARTSVILLE,TN,37074,TROUSDALE,6153742221,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"500 CHURCH STREET HARTSVILLE, TN 37074 (36.388136, -86.167692)"
441303,THREE RIVERS HOSPITAL,451 HIGHWAY 13 SOUTH,WAVERLY,TN,37185,HUMPHREYS,9312964203,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Below the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Above the national average,,Same as the national average,,"451 HIGHWAY 13 SOUTH WAVERLY, TN 37185 (36.075057, -87.792741)"
441304,JOHNSON COUNTY COMMUNITY HOSPITAL,1901 S SHADY ST,MOUNTAIN CITY,TN,37683,JOHNSON,4237271110,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,This hospital's star rating only includes data reported on inpatient services.,Not Available,This hospital's star rating only includes data reported on inpatient services.,Not Available,This hospital's star rating only includes data reported on inpatient services.,Not Available,This hospital's star rating only includes data reported on inpatient services.,Not Available,This hospital's star rating only includes data reported on inpatient services.,Not Available,This hospital's star rating only includes data reported on inpatient services.,Not Available,This hospital's star rating only includes data reported on inpatient services.,Not Available,This hospital's star rating only includes data reported on inpatient services.,"1901 S SHADY ST MOUNTAIN CITY, TN 37683 (36.453783, -81.798722)"
441305,MACON COMMUNITY HOSPITAL,204 MEDICAL DRIVE,LAFAYETTE,TN,37083,MACON,6156662147,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"204 MEDICAL DRIVE LAFAYETTE, TN 37083 (36.5197, -86.025362)"
441306,ERLANGER BLEDSOE HOSPITAL,71 WHEELERTOWN AVENUE,PIKEVILLE,TN,37367,BLEDSOE,4234472112,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,,Not Available,This hospital's star rating only includes data reported on inpatient services.,Not Available,This hospital's star rating only includes data reported on inpatient services.,Not Available,This hospital's star rating only includes data reported on inpatient services.,Not Available,This hospital's star rating only includes data reported on inpatient services.,Not Available,This hospital's star rating only includes data reported on inpatient services.,Not Available,This hospital's star rating only includes data reported on inpatient services.,Not Available,This hospital's star rating only includes data reported on inpatient services.,Not Available,This hospital's star rating only includes data reported on inpatient services.,"71 WHEELERTOWN AVENUE PIKEVILLE, TN 37367 (35.62183, -85.188304)"
441307,RIVERVIEW REGIONAL MEDICAL CENTER,158 HOSPITAL DRIVE,CARTHAGE,TN,37030,SMITH,6157359815,Critical Access Hospitals,Proprietary,TRUE,TRUE,4,,Same as the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Above the national average,,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period.,"158 HOSPITAL DRIVE CARTHAGE, TN 37030 (36.263607, -85.948556)"
441309,MARSHALL MEDICAL CENTER,1080 NORTH ELLINGTON PARKWAY,LEWISBURG,TN,37091,MARSHALL,9313596276,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,,4,,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Above the national average,,Same as the national average,,"1080 NORTH ELLINGTON PARKWAY LEWISBURG, TN 37091 (35.464421, -86.786652)"
441310,RHEA MEDICAL CENTER,9400 RHEA COUNTY HIGHWAY,DAYTON,TN,37321,RHEA,4237751121,Critical Access Hospitals,Government - Local,TRUE,TRUE,2,,Below the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,"9400 RHEA COUNTY HIGHWAY DAYTON, TN 37321 (35.530374, -84.982334)"
441311,TRISTAR ASHLAND CITY MEDICAL CENTER,313 NORTH MAIN ST,ASHLAND CITY,TN,37015,CHEATHAM,6157923030,Critical Access Hospitals,Proprietary,TRUE,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Above the national average,,Same as the national average,,"313 NORTH MAIN ST ASHLAND CITY, TN 37015 (36.276974, -87.065976)"
441313,HANCOCK COUNTY HOSPITAL,1519 MAIN STREET HWY 33,SNEEDVILLE,TN,37869,HANCOCK,4237335001,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"1519 MAIN STREET HWY 33 SNEEDVILLE, TN 37869 (36.430266, -83.462766)"
441314,LAUDERDALE COMMUNITY HOSPITAL,326 ASBURY AVENUE,RIPLEY,TN,38063,LAUDERDALE,7312212200,Critical Access Hospitals,Proprietary,TRUE,,4,,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Above the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,"326 ASBURY AVENUE RIPLEY, TN 38063 (35.746554, -89.548949)"
441316,CAMDEN GENERAL HOSPITAL,175 HOSPITAL DRIVE,CAMDEN,TN,38320,BENTON,7315840109,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3,,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Above the national average,,Same as the national average,,"175 HOSPITAL DRIVE CAMDEN, TN 38320 (36.05578, -88.107517)"
441319,CUMBERLAND RIVER HOSPITAL,100 OLD JEFFERSON ST,CELINA,TN,38551,CLAY,9312433581,Critical Access Hospitals,Physician,TRUE,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Above the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"100 OLD JEFFERSON ST CELINA, TN 38551 (36.544736, -85.501173)"
441322,HOUSTON COUNTY COMMUNITY HOSPITAL,5001 EAST MAIN STREET,ERIN,TN,37061,HOUSTON,9312894211,Critical Access Hospitals,Government - Local,TRUE,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"5001 EAST MAIN STREET ERIN, TN 37061 (36.319516, -87.689193)"
443302,ST JUDE CHILDRENS RESEARCH HOSPITAL,262 DANNY THOMAS PLACE,MEMPHIS,TN,38105,SHELBY,9014953300,Childrens,Voluntary non-profit - Private,FALSE,,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,"262 DANNY THOMAS PLACE MEMPHIS, TN 38105 (35.15456, -90.04253)"
443303,EAST TENNESSEE CHILDRENS HOSPITAL,2018 CLINCH AVE SW,KNOXVILLE,TN,37916,KNOX,8655418000,Childrens,Voluntary non-profit - Private,TRUE,,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,"2018 CLINCH AVE SW KNOXVILLE, TN 37916 (35.956529, -83.93792)"
444001,MEMPHIS MENTAL HEALTH INSTITUTE,951 COURT AVENUE,MEMPHIS,TN,38103,SHELBY,9015771800,Psychiatric,Government - Local,TRUE,,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,"951 COURT AVENUE MEMPHIS, TN 38103 (35.141595, -90.029656)"
444002,MOCCASSIN BEND MENTAL HEALTH INSTITUTE,100 MOCCASIN BEND ROAD,CHATTANOOGA,TN,37405,HAMILTON,4237852271,Psychiatric,Government - State,FALSE,,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,"100 MOCCASIN BEND ROAD CHATTANOOGA, TN 37405 (35.027244, -85.335497)"
444003,RIDGEVIEW PSYCHIATRIC HOSPITAL AND CENTER,240 W TYRONE RD,OAK RIDGE,TN,37830,ANDERSON,8654821076,Psychiatric,Voluntary non-profit - Private,FALSE,,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,"240 W TYRONE RD OAK RIDGE, TN 37830 (36.025458, -84.242692)"
444004,LAKESIDE BEHAVIORAL HEALTH SYSTEM,2911 BRUNSWICK RD,MEMPHIS,TN,38133,SHELBY,9013774700,Psychiatric,Voluntary non-profit - Church,FALSE,,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,"2911 BRUNSWICK RD MEMPHIS, TN 38133 (35.205927, -89.773169)"
444005,BEHAVIORAL HEALTHCARE CENTER AT MARTIN,"458 HANNINGS LANE, P O BOX 1006",MARTIN,TN,38237,WEAKLEY,7315882830,Psychiatric,Voluntary non-profit - Private,TRUE,,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,"458 HANNINGS LANE, P O BOX 1006 MARTIN, TN 38237 (36.337537, -88.871534)"
